freq,psd_x,psd_y,psd_z,psd_xyz,zv(65.2),mzv(61.0),ei(74.8),2hump_ei(51.0),3hump_ei(49.8)
142.6,1.858e+02,4.355e+02,9.419e+02,1.563e+03,0.732,0.550,0.611,0.052,0.030
144.1,1.938e+02,4.285e+02,9.883e+02,1.611e+03,0.721,0.563,0.613,0.050,0.030
145.7,2.019e+02,4.037e+02,1.004e+03,1.609e+03,0.710,0.575,0.614,0.049,0.029
147.2,2.053e+02,3.541e+02,1.026e+03,1.585e+03,0.697,0.586,0.614,0.048,0.029
148.8,1.758e+02,3.028e+02,9.481e+02,1.427e+03,0.684,0.595,0.612,0.047,0.029
150.3,1.782e+02,2.780e+02,9.505e+02,1.407e+03,0.670,0.603,0.609,0.047,0.030
151.9,2.076e+02,2.826e+02,1.096e+03,1.586e+03,0.655,0.610,0.605,0.047,0.030
153.4,2.385e+02,3.065e+02,1.282e+03,1.827e+03,0.639,0.616,0.599,0.047,0.030
155.0,2.422e+02,2.873e+02,1.283e+03,1.813e+03,0.622,0.620,0.592,0.048,0.031
156.5,2.112e+02,2.454e+02,1.147e+03,1.604e+03,0.605,0.623,0.584,0.048,0.032
158.1,2.238e+02,2.283e+02,1.271e+03,1.723e+03,0.587,0.625,0.575,0.049,0.032
159.6,2.221e+02,2.342e+02,1.226e+03,1.683e+03,0.568,0.626,0.565,0.051,0.033
161.2,2.335e+02,2.070e+02,1.278e+03,1.718e+03,0.548,0.625,0.553,0.052,0.034
162.7,2.215e+02,1.902e+02,1.223e+03,1.634e+03,0.529,0.623,0.541,0.054,0.036
164.3,2.047e+02,1.758e+02,1.164e+03,1.544e+03,0.508,0.619,0.527,0.057,0.037
165.8,1.911e+02,1.606e+02,1.095e+03,1.446e+03,0.487,0.615,0.513,0.059,0.039
167.4,1.841e+02,1.548e+02,1.064e+03,1.403e+03,0.466,0.609,0.497,0.062,0.041
168.9,1.981e+02,1.598e+02,1.163e+03,1.520e+03,0.444,0.602,0.481,0.065,0.043
170.5,2.133e+02,1.666e+02,1.241e+03,1.621e+03,0.422,0.593,0.465,0.069,0.045
172.0,2.043e+02,1.738e+02,1.193e+03,1.571e+03,0.399,0.584,0.447,0.073,0.048
173.6,2.080e+02,1.897e+02,1.232e+03,1.629e+03,0.379,0.574,0.429,0.077,0.051
175.1,2.100e+02,1.835e+02,1.233e+03,1.627e+03,0.367,0.562,0.411,0.082,0.054
176.7,1.931e+02,1.791e+02,1.171e+03,1.544e+03,0.356,0.550,0.392,0.090,0.062
178.2,2.146e+02,1.915e+02,1.321e+03,1.728e+03,0.345,0.537,0.373,0.105,0.073
179.8,2.420e+02,2.250e+02,1.416e+03,1.883e+03,0.335,0.523,0.354,0.120,0.085
181.3,2.553e+02,2.335e+02,1.518e+03,2.007e+03,0.325,0.508,0.334,0.135,0.097
182.9,2.666e+02,2.494e+02,1.615e+03,2.131e+03,0.316,0.492,0.315,0.151,0.110
184.4,2.710e+02,2.763e+02,1.672e+03,2.220e+03,0.308,0.475,0.295,0.167,0.122
186.0,2.581e+02,2.618e+02,1.632e+03,2.152e+03,0.301,0.458,0.276,0.183,0.134
187.5,2.785e+02,2.987e+02,1.804e+03,2.381e+03,0.295,0.441,0.257,0.198,0.146
189.1,3.054e+02,3.200e+02,1.990e+03,2.615e+03,0.290,0.423,0.238,0.213,0.156
190.6,3.163e+02,3.404e+02,2.072e+03,2.729e+03,0.286,0.404,0.219,0.226,0.165
192.2,3.290e+02,3.565e+02,2.203e+03,2.889e+03,0.284,0.386,0.201,0.238,0.173
193.7,3.742e+02,4.080e+02,2.495e+03,3.277e+03,0.283,0.367,0.183,0.249,0.178
195.3,4.202e+02,4.842e+02,2.870e+03,3.775e+03,0.282,0.347,0.166,0.258,0.182
196.8,4.518e+02,5.125e+02,3.100e+03,4.064e+03,0.283,0.328,0.158,0.265,0.184
198.4,2.965e+02,3.325e+02,2.047e+03,2.676e+03,0.285,0.309,0.150,0.271,0.184
